category;;;aggregation;aggregation;aggregation;aggregation;aggregation;aggregation
country;year;month;Comedy;Entertainment;Film & Animation;Music;Other;People & Blogs
DE;2017;11;215;1134;248;129;1104;558
DE;2017;12;404;2416;408;345;1623;967
DE;2018;1;347;2133;333;310;1780;842
DE;2018;2;308;2041;320;297;1752;805
DE;2018;3;357;2290;336;351;1948;858
DE;2018;4;298;1672;237;344;1469;741
DE;2018;5;422;2463;346;419;1616;844
DE;2018;6;183;1143;148;177;730;373
FR;2017;11;453;784;197;229;1290;428
FR;2017;12;788;1533;351;516;2092;887
FR;2018;1;622;1307;306;570;2199;764
FR;2018;2;482;1338;307;573;2060;783
FR;2018;3;582;1410;311;646;2217;971
FR;2018;4;516;1073;228;534;1736;682
FR;2018;5;621;1603;321;617;2125;820
FR;2018;6;279;771;136;261;907;384
GB;2017;11;200;772;104;833;1168;321
GB;2017;12;348;1382;297;1580;1844;734
GB;2018;1;252;1376;306;1648;1642;557
GB;2018;2;326;1269;495;1722;1258;490
GB;2018;3;250;1458;473;2404;1199;325
GB;2018;4;168;1024;343;2154;523;197
GB;2018;5;178;1296;381;2353;639;187
GB;2018;6;106;547;178;1060;344;115
US;2017;11;315;790;174;613;1261;247
US;2017;12;579;1549;360;950;2244;518
US;2018;1;465;1288;354;758;2464;467
US;2018;2;423;1243;295;777;2391;442
US;2018;3;524;1537;337;810;2467;508
US;2018;4;407;1160;264;747;1751;471
US;2018;5;510;1701;355;1121;2111;401
US;2018;6;234;696;206;696;812;156
