category;;;aggregation;aggregation;aggregation;aggregation;aggregation;aggregation
country;year;month;Comedy;Entertainment;Music;Other;People & Blogs;Sports
DE;2017;11;766246;1619766;2512425;1681235;665790;297924
DE;2017;12;1665228;10126603;2325548;2677915;1266387;473776
DE;2018;1;1410919;4247372;2993503;2889360;942328;551130
DE;2018;2;810771;4092326;2551069;3649110;1401643;700153
DE;2018;3;1273347;4970506;3281805;2756982;1024960;797569
DE;2018;4;879566;3545055;3915309;1994089;882372;437194
DE;2018;5;1303179;5212912;9361330;4073917;1255681;603789
DE;2018;6;742713;2672677;2680847;2070444;1480039;358850
FR;2017;11;920032;814138;2098886;925727;165903;297322
FR;2017;12;1666870;4536813;2009218;1528395;536792;536633
FR;2018;1;1057634;1544332;3005043;2087079;371075;776037
FR;2018;2;942699;1813970;2250458;1865559;475796;719503
FR;2018;3;969165;2081357;3729658;1502867;355340;685795
FR;2018;4;1433076;1229875;3527924;1608063;460646;397234
FR;2018;5;1433301;2422197;6753684;2876934;788298;765706
FR;2018;6;714037;1287242;2071418;1388324;950968;397188
GB;2017;11;1662071;3480115;12811560;3184327;330070;187419
GB;2017;12;3267388;29350416;18968009;4518697;5718861;342164
GB;2018;1;5050814;26494330;18404527;5989472;3057983;373723
GB;2018;2;2453346;8247556;30637674;9852342;3071193;2049591
GB;2018;3;1525026;13924916;54675294;9974465;994524;5940369
GB;2018;4;1468823;16167349;46765182;3891883;1229579;727511
GB;2018;5;901598;13282850;84463756;5920210;2908564;246519
GB;2018;6;389750;5949908;26287138;2943394;1402375;188930
US;2017;11;1564253;3385777;8210654;3762277;541418;155833
US;2017;12;3076674;15621876;8535309;7442207;2837888;602915
US;2018;1;3444270;11889648;7777954;12612852;1618080;863110
US;2018;2;1354489;4305475;5776652;9244820;2901981;1529135
US;2018;3;3067956;11228281;15889288;11970295;1826559;2384523
US;2018;4;3408557;7932261;17386222;10191374;4690633;1871021
US;2018;5;4078069;12098933;44921934;20729987;5061687;3043530
US;2018;6;2551314;7104247;16798383;12555689;5299786;742088
