category;;;aggregation;aggregation;aggregation;aggregation;aggregation;aggregation;aggregation
country;year;month;Comedy;Entertainment;Film & Animation;Music;Other;People & Blogs;Sports
DE;2017;11;141037572;419301881;194680306;321904208;208155145;148534546;129211676
DE;2017;12;293917676;1667292021;181440810;557761948;391559334;281309390;222151210
DE;2018;1;220354912;814353108;175569694;749790520;359686495;210699546;240986849
DE;2018;2;172224220;1034922137;298789765;560550168;463847484;460117847;303316061
DE;2018;3;219331325;1138466867;296700649;862409052;409172648;306812086;352375631
DE;2018;4;188578968;960371438;157798382;808678002;346765174;251284537;247536865
DE;2018;5;303147802;1337014082;274894553;1293625532;724294266;346873326;287094304
DE;2018;6;103565679;730917160;177310177;529151216;264815155;187981990;155519682
FR;2017;11;191066111;194913199;52101125;350802421;161486036;54780928;110888260
FR;2017;12;401462567;648952852;86573647;498844989;263674162;156096070;238418976
FR;2018;1;241300753;349461018;81050864;714627288;235511312;100222322;306696670
FR;2018;2;203634157;525964258;162935907;525547736;305121235;273823103;300373372
FR;2018;3;218585668;538382315;176891887;707602425;209752244;161273822;326412892
FR;2018;4;212419975;424792471;72228432;797061714;243426520;152496576;250139311
FR;2018;5;311976027;717642547;194246343;964928834;535555525;236356704;291605653
FR;2018;6;115839391;379391569;92488813;467032115;188476284;145794008;172275905
GB;2017;11;264224050;1285179140;155511937;4158943353;711150126;114619489;101228968
GB;2017;12;924400764;5848482923;317152438;5427655009;647782719;687830599;150245144
GB;2018;1;544667482;2108655386;253571983;8102315782;702887775;532408260;175176889
GB;2018;2;567146563;4904719539;1756239356;20079545911;1469348632;1992116092;734388573
GB;2018;3;465085349;4458132401;2229906959;43583337914;1316479300;1284390947;1474832642
GB;2018;4;454240408;4102582393;1186340865;28575563233;1036175323;470330193;387609819
GB;2018;5;441242528;4599479825;1865698212;46662717236;1055218914;412588598;133165478
GB;2018;6;301054999;2479051434;598285876;14570786331;409415521;260003651;185088681
US;2017;11;311563737;831707678;439446191;1814866039;619017417;105243216;84953862
US;2017;12;645468359;3054867831;347868839;2234885386;1256856420;462597426;234659809
US;2018;1;620505089;1291889488;478759602;2034296336;1256822193;378284697;381111528
US;2018;2;452847312;1542021267;1002360186;1865874026;1713215373;895859341;573927388
US;2018;3;794689372;2667651676;857868920;3912721269;1772424791;607040166;936168182
US;2018;4;913708890;3149258988;949212518;6359916819;1667981632;670197101;879797551
US;2018;5;841677002;5474175011;1752234656;15023340400;3988731651;1061610838;1039337028
US;2018;6;536966447;2592816256;1456405809;6886991915;1936208962;736358941;274501325
