video_id,title,publish_time,channelId,channel_title,category_id,trending_date,views,likes,comment_count,comments_disabled,ratings_disabled,description
x7jzJ9OwzDM,"ΠΑΟΚ-Παναθηναϊκός: 1-2 (MD 5 Playoffs, 23/04/2023)",2023-04-24T05:00:31Z,UCEIbXco8hU9oDHXGo1kwIlA,Novasports.gr,17,23.27.04,315970,3928,785,False,False,"Τα στιγμιότυπα του ματς.Δείτε άμεσα, αποκλειστικά highlights και live goals των διοργανώσεων Super League 1, Euroleague, Premier League, La Liga, Bundesliga, Ligue 1!"
M3L_zsHjomo,🖤❤️ Respect Jeremie Frimpong 🫶,2023-04-15T15:40:18Z,UCSMZmPVql528Cph9WPvt0GA,Bayer 04 Leverkusen,17,23.27.04,14182873,623622,4242,False,False,What a nice gesture! #shorts #werkself #b04 #bayer04 Become part of the #B04 #Werkself and activate the bell ▶ https://zly.de/ath/B04Bayer 04 Leverkusen on social media:Website ▶ https://www.bayer04.de/Instagram ▶ https://www.instagram.com/bayer04fussball/Facebook ▶ https://www.facebook.com/bayer04fussballTwitter ▶ https://twitter.com/bayer04fussballSnapchat ▶ https://www.snapchat.com/add/bayer04snapsTikTok ▶ http://www.tiktok.com/@bayer04 Soundcloud ▶ https://soundcloud.com/werkself-podcastLinkedIn ▶ https://www.linkedin.com/company/bayer-04-leverkusen/
ZMNMYN86RUY,"Πρωθυπουργία, ΛΟΑΤΚΙ Γάμος, Εκκλησία και κράτος | KRIMA #83 ft. Αλέξης Τσίπρας",2023-04-26T09:00:19Z,UC2R95XPMwzU_8U3hD4aLCGg,ZoePreTV,23,23.27.04,131289,6477,1268,False,False,"Στο σημερινό #ΚΡΙΜΑ ο Αλέξης Τσίπρας πρώην πρωθυπουργός και πρόεδρος του ΣΥΡΙΖΑ ΠΣ μας μιλάει για τα παιδικά του χρόνια, την πατρότητα, την περίοδο της πρωθυπουργίας του και γενικότερα ότι θα θέλατε να ρωτήσετε!SUBSCRIBE: https://goo.gl/Ek94JnFACEBOOK: https://goo.gl/cLoqECINSTAGRAM: @zoe.pre - @marigoulapre - @xosedakiΤΙΚΤΟΚ: @zoepreofficialΟδηγίες χρήσης του ΚΡΙΜΑ :1. Βάλε το επεισόδιο να παίζει στο κινητό σου2. Φόρα απαραιτήτως ακουστικά *θα καταλάβεις γιατί*3. Ξεκίνα τις δουλειές του σπιτιού σου που έχει αραχνιάσει ή κάνε γυμναστική βρε αγύμναστο κουράδι4. ΚΑΝΕ ΕΝΑ ΛΑΙΚ ΚΑΙ ΕΝΑ ΚΟΜΕΝΤ ΓΙΑΤΙ ΜΑΣ ΑΓΑΠΑΣ ΠΟΛΥSpotify: https://open.spotify.com/show/4tMNeg7MOkokx4gcJu6KkA?si=cx1zL7MKTGCc50Y84yitjQApple Podcasts: https://podcasts.apple.com/gr/podcast/%CE%BA%CF%81%CE%B9%CE%BC%CE%B1/id1553468661Google Podcasts: https://podcasts.google.com/feed/aHR0cHM6Ly9mZWVkcy5hY2FzdC5jb20vcHVibGljL3Nob3dzLzYwMjUzMTIzNzA5MzFlN2I4YmYwODFkOQDeezer: https://www.deezer.com/en/show/2349992 Pocket Casts: https://pca.st/1rqd5yiqCastbox: https://castbox.fm/channel/id3822599?country=gbSpecial thanks to:Dimitris Delis @delee_222  για την ηχοληψία"
8leILbL4IX0,Ολυμπιακός - ΑΕΚ 1 - 3 | Highlights - Stoiximan Super League - 23/04/2023 | COSMOTE SPORT HD,2023-04-23T21:26:27Z,UCgMUmr7uLDalwVk63Sf6pBw,COSMOTE TV,17,23.27.04,494368,5565,0,True,False,"Εγγραφείτε στο κανάλι της COSMOTE TV: https://www.youtube.com/@COSMOTE_TVΠαρακολουθήστε τα highlights της αναμέτρησης Ολυμπιακός - ΑΕΚ, της Stoiximan Super League, στις 23/04/2023. Οι σκόρερ των ομάδων:Ολυμπιακός - Bakambu C. (54')ΑΕΚ - Gacinovic M. (7'), Garcia L. (82'), Mantalos P. (90+1')Για να παρακολουθήσετε όλα τα highlights της Stoiximan Super League 2022-2023 πατήστε εδώ: https://bit.ly/SuperLeague23"
AWYBRQU2hDk,Για 50 ΧΡΟΝΙΑ Κρατούσε Αυτό Το Μυστικό 😧,2023-04-20T17:00:55Z,UCTErqyPU2gSm4YebjKqTgMg,Helen Mazlou Vlogs,24,23.27.04,349960,17134,117,False,False,Κάνε εγγραφή 👉 https://bit.ly/HelenMazlouYTMazlouMarket - https://www.instagram.com/mazloumarket/?hl=elGaming - https://www.youtube.com/c/HelenMazlouGamesInsta - https://www.instagram.com/helenmazlou/?hl=elTiktok - https://www.tiktok.com/@helenmazlou?source=h5_m📧 For Collab/Biz Contact ➤ helenmazlouinfo@gmail.com
GGBy50KtvRk,Tipping A Waitress A Car,2023-04-22T20:00:00Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,24,23.27.04,31736198,2394370,9664,False,False,New Merch - https://shopmrbeast.com/SUBSCRIBE OR I TAKE YOUR DOG╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ ╠╗║╚╝║║╠╗║╚╣║║║║║═╣╚═╩══╩═╩═╩═╩╝╚╩═╩═╝----------------------------------------------------------------follow all of these or i will kick you• Facebook - https://www.facebook.com/MrBeast6000/• Twitter - https://twitter.com/MrBeast•  Instagram - https://www.instagram.com/mrbeast•  Im Hiring! - https://www.mrbeastjobs.com/--------------------------------------------------------------------
IoUlkbK46NQ,Facts που θα σου σώσουν την ζωή 😦,2023-04-26T12:00:20Z,UC96Ir6C-EMFjq-BY_OHii4A,Sonso,20,23.27.04,94439,9032,11,False,False,#minecraft #shorts
B3vyJUMSzIw,Δείτε τι έκανα στο πρώτο μας ραντεβού,2023-04-20T18:34:37Z,UCzUeKtp940CSLJbjEX0ZRfQ,Nikos Anagnostopoulos,22,23.27.04,198212,3273,21,False,False,
q3RqCKRc3TM,ΖΙΟΒΑΝΙ | Πήγαμε Βραζιλία για τον Μάγο του Ολυμπιακού | Betarades Docuvlogs,2023-04-22T11:00:10Z,UCKMjsDbYioH3ctbCg5ls0sg,Betarades.gr,17,23.27.04,197904,6752,685,False,False,"Κατέβασε την εφαρμογή της Wolt σε Android ή iOS και χρησιμοποίησε τον κωδικό BETARADES για συνολική έκπτωση 6€ (2€+2€+2€) στις 3 πρώτες παραγγελίες σου! : https://wolt.com/el/grcΠώς να χρησιμοποιήσεις τον εκπτωτικό κωδικό: 1.Κατεβάζεις την εφαρμογή της Wolt2. Κάνεις εγγραφή3. Επιλέγεις το Προφίλ στην κάτω δεξιά γωνία4. Πας στην ενότητα Χρήσιμα5. Επιλέγεις εισαγωγή εκπτωτικού κωδικού 6. Εισάγεις τον κωδικό BETARADES7. Πατάς υποβολή8. Απολαμβάνεις την παραγγελία σου! ☑️ Κάνε subscribe για να μη χάνεις βίντεο: https://goo.gl/Tmm5W2Οι Betarades έφτασαν μέχρι τη Βραζιλία για χάρη του Ζιοβάνι και σας παρουσιάζουν ένα μοναδικό ταξιδιωτικό επεισόδιο με επίκεντρο τον Μάγο του Ολυμπιακού!!! Ο Βραζιλιάνος σούπερ σταρ θυμάται και εξιστορεί όλες τις σημαντικές στιγμές της καριέρας του από τα πρώτα παιχνίδια στη βροχή του Μπελέμ μέχρι την καταξίωση στη Βαρκελώνη και την Εθνική Βραζιλίας. Η έλευσή του στον Πειραιά και το δέσιμο με τους φίλους του Ολυμπιακού!!! Μια απολαυστική κατάθεση ψυχής στο μοναδικό ελληνικό μεσο που ταξίδεψε στο Σάντος!!! Δείτε το νέο επεισόδιο που μεταξύ άλλων σας ταξιδεύει στο μουσείο του Πελέ, στο γήπεδο της Σάντος και σας ξεναγεί στα ήθη και τα έθιμα της τεράστιας αυτής χώρας!!!Director/ 1st Camera Operator: Dimitris KravvaritisEditor: Dimitris KravvaritisAssistant Editor/ Vlog camera operator/ Colorist: Rafail PatsoulisGraphic Designer: Vasilis GouzourisIntro Graphics: Nikos Pampoukidis🌍 Ακολούθησε τους Betarades στα ταξίδια τους στο εξωτερικό: https://www.youtube.com/playlist?list=PLyjsz946iHeUKfS1WlShTtbUZiGGorMoz⚽ Δες τα τελευταία Betarades Guests: https://www.youtube.com/playlist?list=PLyjsz946iHeX2QrD7BmeT3Wl3wwJXdCbM🏀 Δες τη νέα σειρά του Betarades για το NBA: https://www.youtube.com/playlist?list=PLyjsz946iHeUegakcxyLQtvkYi2QSnhRq ✅ Γίνε μέλος στην κοινότητά μας στο discord: https://discord.gg/betarades🔊 Άκουσε το καινούριο μας show στο spotify: https://open.spotify.com/show/2GplUiGJkwQ0cxKcllP7xV0:00 Intro0:45 Το ταξίδι μέχρι τη Βραζιλία07:51 ΣΥΝΕΝΤΕΥΞΗ10:50 Τηλεφώνημα Ζιοβάνι με τον Πέτρο Κόκκαλη11:40 Παιδικά χρόνια στη Βραζιλία15:00 Τα πρώτα βήματα της καριέρας του21:30 Μεταγραφή στην Μπαρτσελόνα24:30 Μουντιάλ με τη Βραζιλία29:00 ΠΑΥΣΗ 1η: Επίσκεψη στο Μουσείο του Πελέ31:10 Γιατί επέλεξε ο Τζιοβάνι τον Ολυμπιακό;35:00 Η αγάπη που δέχεται από τον κόσμο39:00 Ο Ζιοβάνι μετά τον τραυματισμό45:00 Μπάγεβιτς49:30 Η άποψή του για τον Έλληνα ποδοσφαιριστή51:00 Αστείες ιστορίες52:30 Πως βίωσε την αποχώρηση του από τον Ολυμπιακό?55:00 Παναθηναϊκός - Ολυμπιακός 1-41:01:00 Γνώμη για:1:04:00 Ήταν αργός ο Ζιοβάνι;1:06:00 Βραζιλία στο Μουντιάλ στο Κατάρ1:08:00 Βραζιλιάνικο Πρωτάθλημα και Βραζιλιάνοι παίκτες1:10:37 ΠΑΥΣΗ 2η: Επίσκεψη στο γήπεδος της Σάντος1:13:37 Νεϊμάρ1:16:00 Λάθος επιλογές μετά το τέλος της ποδοσφαιρικής καριέρας1:17:00 Το ταλέντο των Βραζιλιάνων1:20:10 Παιδιά1:21:30 Λουτσιάνο1:23:00 Χειρότερη στιγμή της καριέρας του1:24:20 Αισθάνθηκε ποτέ Μάγος;1:26:50 QNA1:37:10 Παίζουμε μπάλα στην παραλία με τον Τζιοβάνι1:38:20 Roadtrip από το Σάντος στο Ρίο1:41:00 Στο επόμενο επεισόδιο#betarades #olympiacos #giovanni"
p5pi5U07mnQ,Ο Hawk Βαθμολογεί Wagyu A5,2023-04-21T12:00:41Z,UC1cDpj_OXMMlpEmWpDbaGsg,Chris Kogias,22,23.27.04,401441,27293,689,False,False,Σήμερα παρέα με τον Hawk θα φτιάξουμε θα δοκιμάσουμε και θα βαθμολογήσουμε 4 διαφορετικά steak ξεκινοντας από το πιο φθηνό μέχρι και Wagyu a5 !Πιο λέτε να είναι πιο νόστιμο και τρυφερό ?Μην ξεχάσεις να κανείς subscribe brother φτάνουμε τους 500.000 !Κανε εγγραφή στο κανάλι μου : https://youtube.com/channel/UC1cDpj_OXMMlpEmWpDbaGsgΒρες με στο IG  : https://www.instagram.com/chriskogias_sw/?hl=enΒρες με στο ΤΙΚΤΟΚ : https://vm.tiktok.com/4u5AUY/Βρες με στο YouTube Shorts : https://m.youtube.com/channel/UC8GTwT2ykJ0g1XhktOL-JvAΒρες τον Hawk στα SOCIAL : https://instagram.com/hawk_greco?igshid=YmMyMTA2M2Y=Crystal SALT : https://crystalsalt.gr/CKF Store : https://ckfstore.gr/Check Myprotein : https://prf.hn/l/K9DGQZW#chriskogias #wagyu #wagyuA5 #wagyusteak
