video_id,title,publish_time,channelId,channel_title,category_id,trending_date,views,likes,comment_count,comments_disabled,ratings_disabled,description
jS6tiVDEqKg,Snow Man【Music Video鑑賞会】「i DO ME」ユニット曲公開!!,2023-04-26T08:00:29Z,UCuFPaemAaMR8R5cHzjy23dQ,Snow Man,10,23.27.04,1335164,0,5394,False,True,どうも！Snow Manです。今回は、３枚目のアルバム「i DO ME」のユニット曲Music Videoの鑑賞会を実施!!メンバーも初めて聴く観る、それぞれのユニットのMVに大興奮～！MVの続きをご覧になりたい方は、「i DO ME」初回盤Bをチェックお願いします！ 皆様も動画で僕たちと一緒に楽しみましょ～！ということで、最後までお付き合いください。__________________________________________________________ ｢Two｣ - Shota Watanabe / Ren Meguro｢Bass Bon｣ - Raul / Daisuke Sakuma｢Vroom Vroom Vroom｣ - Hikaru Iwamoto / Tatsuya Fukazawa / Ryota Miyadate｢Gotcha!｣ - Koji Mukai / Ryohei Abe#挑め自分らしさに_________________________________________________________#SnowMan #MV鑑賞会 #ユニット曲3rd Album「i DO ME」2023.05.17 Releasehttps://snowman.lnk.to/3rdalbum_alltitles「あいことば」Music Videoはこちら!!https://www.youtube.com/watch?v=5-iJl-fKHwI「slow…」Music Videoはこちら!!https://www.youtube.com/watch?v=aHMfRAGEE5Q｢i DO ME｣SPECIAL SITEはこちら!!https://mentrecording.jp/snowman/idome/◆Johnny's net https://www.johnnys-net.jp/page?id=ar...　◆Snow Man HP https://mentrecording.jp/snowman/◆Snow Man YouTube公式チャンネル https://www.youtube.com/c/J_SNOWMAN◆Snow Man Twitterhttps://twitter.com/SN__20200122 ◆Snow Man TikTokhttps://www.tiktok.com/@snowman_mentr...◆Snow Man Instagram https://www.instagram.com/snowman_off...◆Snow Man Weibohttps://www.weibo.com/SnowManofficial#SnowMan #スノ #スノチューブ #idome #iDOME #岩本照 #深澤辰哉 #ラウール #渡辺翔太 #向井康二 #阿部亮平 #目黒蓮 #宮舘涼太 #佐久間大介
zqQmL6fzHh8,MU-TON vs CHEHON / 渋谷レゲエ祭 vs 真ADRENALINE 2023.04.22,2023-04-26T09:00:38Z,UCj6aXG5H_fm_RAvxH38REXw,アドレナリン チャンネル,10,23.27.04,382566,10494,1500,False,False,▼全試合フルはABEMAで公開中https://abema.tv/video/title/408-30DA-Dee-MiX衣装提供 LAFAYETTEラファイエット公式通販サイト https://www.lafayettecrew.jp/次回の開催は7月14日(金) CLUB CITTA’KING OF KINGS vs 真 ADRENALINE未成年入場可能/観客判定！▼チケットご購入はこちらから▼https://eplus.jp/kok-shinadrenaline/#abema  #真ADRENALINE　#mcbattle
nH1bo9q-KzU,TOKYO MERの舞台挨拶密着したらついに賀来賢人大先生に挨拶させることに成功したからみてー,2023-04-26T11:00:35Z,UCJyGoLz_sLHHHI1uEPg6UhA,仲里依紗です。,22,23.27.04,1059226,21174,586,False,False,InstagramとTwitterもフォローよろしくね❤️Instagram☆☆☆https://instagram.com/riisa1018nakaTwitter☆☆☆https://twitter.com/riisa1018nakaTikTok☆☆☆https://vt.tiktok.com/ZSd6n8KmE/👗RE.オフィシャル通販サイト👗https://1989re.com/🎀RE.のインスタ🎀https://www.instagram.com/re._oyoufukuyasan_💙RE.れいちゃんのインスタ💙https://www.instagram.com/re._reichan_/#仲里依紗 #TOKYOMER
E0W4DFRAhC0,BE:FIRST 3rd Single「Smile Again」リリース記念 YouTube Live！,2023-04-26T11:50:38Z,UCi_AquB9uaI3-9xXkuWG7IQ,BE:FIRST Official,10,23.27.04,276424,17616,286,False,False,2023/4/24 Streaming & DownloadBE:FIRST / Smile Again https://BEFIRST.lnk.to/SmileAgain 2023/4/26 On Sale BE:FIRST / Smile Againhttps://BMSG.lnk.to/3rdSGBE:FIRST / Smile Again - Playlist -https://youtube.com/playlist?list=PLbnrvWONK6FdDQdV0tF5VUyhIXbRemq8E＜BE:FIRST PROFILE＞SKY-HI率いるBMSGに所属する、SOTA、SHUNTO、MANATO、RYUHEI、JUNON、RYOKI、LEOの7人組ダンス＆ボーカルグループ。それぞれが歌・ダンス・ラップに対して高いクオリティとポテンシャルを持っているのと同時に、作詞・作曲・コレオグラフにまで発揮される音楽的感度の高さ、そして七者七様の個性を持った華やかさが魅力。「BE:FIRST」と名付けられたこの7人組は、プレデビューから日本の各種チャートの1位を席巻。ここからアジア、そして世界へと向けて偉大なる最初の一歩目を踏み出す。 ＜BE:FIRST SNS＞Official Website：https://befirst.tokyo/Twitter : https://twitter.com/BEFIRSTofficialTwitter (global): https://twitter.com/BEFIRST_globalInstagram : https://www.instagram.com/befirst__official/Facebook : https://www.facebook.com/BEFIRSTofficialTikTok : https://www.tiktok.com/@befirst_officialYouTube Channel : https://www.youtube.com/c/BEFIRSTOfficialLINE : https://page.line.me/befirst ＜BMSG SNS＞Official Website：https://bmsg.tokyo/Twitter：https://twitter.com/BMSG_officialInstagram : https://www.instagram.com/bmsg_official/YouTube Channel：https://www.youtube.com/c/BMSG_official#BEFIRST#SmileAgain#君は綺麗だ#BMSG#BME#BESTY#BEFIRSTXBESTY
ONxS5aEUyNM,Fate/Grand Order カルデア放送局SP 「Fate/Grand Order Arcade」コラボレーションイベント開幕記念放送,2023-04-26T11:07:20Z,UCXBgKqFxSjKADEuMLkc1Bpg,【公式】Fate/Grand Order チャンネル,20,23.27.04,454079,9185,68,False,False,今回のカルデア放送局は、「Fate/Grand Order Arcade」×「Fate/Grand Order」のコラボレーションイベント開幕を記念した特別番組！ゲストとして植田佳奈さん、丹下桜さん、鶴岡聡さんをお招きして「Fate/Grand Order Arcade」コラボレーションイベントの情報をご紹介。さらに、FGO PROJECTやTYPE-MOONの関連情報もお届けいたします。ぜひ、ご視聴ください！■事前番組 18:30〜■本編番組 19:00〜出演者ゲスト　植田佳奈（声優）ゲスト　丹下桜（声優）ゲスト　鶴岡聡（声優）（50音順）MC　マフィア梶田（フリーライター）関連サイト■この機会にぜひアプリをダウンロード！iPhoneの方はこちらhttps://apps.apple.com/jp/app/fate-grand-order/id1015521325Androidの方はこちらhttps://play.google.com/store/apps/details?id=com.aniplex.fategrandorderFate/Grand Order 公式サイトhttp://www.fate-go.jp/
ycdUp5s6SO0,無数の穴をポンプで吸い出すと...,2023-04-26T12:18:30Z,UCypYz0HzH-2oL7mdP-JK2yQ,おろちんゆー,24,23.27.04,504201,13685,1538,False,False,↓↓↓↓LINEスタンプ↓↓↓↓ https://line.me/S/sticker/15972779?_from=lcmプレゼントはこちらまで↓615-0053京都府京都市右京区西院久保田町11 3F Orizumサブちゃんねる↓https://youtube.com/channel/UC9cWgCidXQGAhx9kuwmnAHwツイッター: http://twitter.com/orochinyuインスタ:https://www.instagram.com/orochinyuそれではみなさん、Have a nice day♡楽器提供: フリーBGM（音楽素材）無料ダウンロード｜DOVA-SYNDROME
8aENEC5fqak,怪獣の花唄 / VOLTACTION (cover),2023-04-26T14:00:08Z,UCNRh9kkByBTYLo0IJupnAug,VOLTACTION,24,23.27.04,311585,43304,1052,False,False,"「すぎてく日々には鈍感な君へ」本家：怪獣の花唄 / Vaundyhttps://www.youtube.com/watch?v=UM9XNpgrqVkMusic：Vaundy 様https://twitter.com/vaundy_engawahttps://www.youtube.com/@Vaundyイラスト：火照ちげ 様https://twitter.com/hotetige斬 様https://twitter.com/giri_azMix：さんかくずわり 様https://twitter.com/Sankaku_MixBass , Guiatr & All Other Instruments：永井正道 様Vocal：@FuraKanato https://twitter.com/KNTFR2434@WataraiHibari https://twitter.com/watarai_hibari@ShikinagiAkira https://twitter.com/Shikinagi_2434@SeraphDazzlegarden https://twitter.com/SerAph_DazZ--------------------------------------------------------------------------VOLTACTION（ヴォルタクション）とは…--------------------------------------------------------------------------寄宿学校でいつもつるんでいた4人で結成したユニット。裏社会を通じて磨いてきた特殊な能力を人々の日常を幸せにするために活かす、という共通の思想のもとで日々暗躍している。活動の傍ら、人を楽しませる才能が集まる「にじさんじ」の存在を知り、メンバー全員で加入してみることにした。◆VOLTACTION公式Twitterhttps://twitter.com/VOLTACTION_info◆ハッシュタグ#VOLTACTION #ヴォルタ--------------------------------------------------------------------------＋＋＋※未成年者の視聴者の方々は、下記リンク先の注意事項もご覧ください。https://www.anycolor.co.jp/notice-for-minors＋＋＋"
-GQg25oP0S4,SEVENTEEN (세븐틴) '손오공' Official MV,2023-04-24T08:58:11Z,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,10,23.27.04,27905402,1204340,105619,False,False,"SEVENTEEN (세븐틴) '손오공' Official MV#SEVENTEEN #세븐틴#FML#손오공 #SuperCredits:Production｜OUI PRODUCTIONDirector｜Oui KimProducer｜Yeonjin Kim, Hyunsik Bang1st AD｜Huiwon Song2nd AD｜Sunyoung Kim, Hyeri ShinDirector of Photography｜EumKoFocus Puller｜Youngwoo Lee2nd AC｜Eunil LeeDIT｜Yuntae Ko3rd AC｜Donghyun LeeScorpio Crane 38ft｜Service Vision KoreaHead Tech｜Taehyun ChoiCrane Oper｜Jisoo WooCrane Tech｜Hakser KimAssist｜Bumki Lee, Woojin ImDrone Team｜GodFingerDrone Opreator｜Minjae LeeGimbal Operator｜Junhwan Cha1st Assist｜Youngjun Park2nd Assist｜Euntae LeeGaffer｜Joonghyuk JungCrew｜Hyunsuk Kim, Minhyeok Back, Hwayong Chung, Dongyun Sin, Yusung Han, Youngmin ChoiShow Light｜Jshow companyCrew｜Minseok Choi, Kisoon Kwak, Yebum Bang, Junho Jeong, Jiwoong Han, Yerim Kwon, Haeyoung Kang, Junki Jeong, Sebin Lee, Dongchul Park, Yongil Lee, Youngseo Park, Junhee SongArt｜FourArt Director｜Heeju ParkArt team｜Hilda Yoon, DR Han, Jihyun Yoon, Dongwook Won, Dongsuk Won, Hwandyek BaekSFX｜DRAGONSFX Representative｜Choulyoung ParkSFX Head｜Wonjun Oh, Jaesung ParkSFX Team leader｜Chongyoung SeolSFX Team member｜Youngmin Park, Junhak LeeLocation Team｜it placeCrew｜Eunjoo Choi, Kyeongwon KimProduction Assistant｜Taein Jung, Dongkwon Kim, Hyeoksu JangVFX｜SECONDFLOORVFX Supervisior, FX Lead｜Daeyoung Byun2D Composite Lead｜Ayoung LeeVFX｜BYTS2D Composite Artist｜Daecheol Ha, Kyeongjin Lee2D Cleaning｜CORE StudioCrew｜Dohan Kim, Miyeon LeeColorist｜Changbeen YuAssist｜Soyeon KimConnect with SEVENTEENOfficial Homepage : http://www.seventeen-17.comOfficial YouTube : https://www.youtube.com/pledis17Official Twitter : https://twitter.com/pledis_17Official Instagram : http://www.instagram.com/saythename_17Official Facebook : https://www.facebook.com/seventeennewsOfficial TikTok : https://www.tiktok.com/@seventeen17_officialOfficial Weverse : https://www.weverse.io/seventeenOfficial Fancafe : http://cafe.daum.net/pledis-17ⓒ PLEDIS Entertainment. All Rights Reserved"
VpOfyehHLPs,【一ヶ月企画】マクドナルド全43メニュー食べるまで終われませんが過酷すぎたww,2023-04-26T11:00:21Z,UCpOjLndjOqMoffA-fr8cbKA,水溜りボンド,24,23.27.04,161324,4354,589,False,False,僕らはレジェンドYouTuberではありません。まだまだ若手です。410万人を目指してます！！よろしくおねがいします！！！動画を楽しんでいただけたらぜひ【高評価】【コメント】【チャンネル登録】をよろしくお願いします。そして可能でしたらベルマークを押して【通知ON】にしてください。今後通知がいくようになります！！【カンタの概要欄】ついに二人での一ヶ月企画が始動しました！！思いついてしまったんです。ただマクドナルドのハンバーガーを美味しそうにたべるだけで動画になるという神企画。ただ世の中には回数という概念が存在しておりますし、時間というシステムも存在するのでガチでどんどん身体が重くなってきました笑。しかしそれで心配をかけてはアマちゃんなので、さらにそこからこの動画の裏ではランニングと水泳をしております笑。そうすることで食べれるし、身体も健康的になるという創造と破壊を詰め込んだ動画になりました。結果的に神企画ではなく、キツ企画であるので皆さんは真似しないように。ただトミーはずっと快調だったので別の生き物だと思います。撮影自体も新鮮でした。こういう企画って企画の合間にカメラを回すので、メインの撮影がおわったあとのサブチャンネルっぽい雰囲気で喋りつつ、よくよく考えてみるとキツい企画をしているんだなぁって感じでした。たくさん検証してほしい店舗案お待ちしております😀【トミーの概要欄】こんばんは。トミーです。この企画は僕らの「真面目すぎて変」が最も顕著に現れています。気合が入りすぎてしまっています。9年YouTubeやってきた人たちの肩にこんなに力入ってたら見ずらいです。キモチャリいです。でも、これが僕らです。個人的には普段なら選ばないメニューを手にするとてもいい機会だったなと思います。定番は新商品ばかりじゃなくて注文した事ないバーガーにもたくさんの魅力がある事を知り今後の人生における「マックを楽しめるレベル」が上がったように感じます。そして、僕は自分の食欲が覚醒モードに入っていて心配です。僕は冬眠するのでしょうか？冬眠に向けて蓄えているクマなのでしょうか？だとしても蓄える期間が長すぎているのですが冬は後どのくらいできますでしょうか？だれか知ってたら教えてください。さよならとみ●水溜りボンドの2023春グッズはこちら！https://muuu.com/collections/111612●水溜りボンドの日常（サブチャンネル）http://www.youtube.com/channel/UCaTFX7ckdowpnwHWcJGH2KQ?sub_confirmation=1●それぞれの個人チャンネルカンタの大冒険https://www.youtube.com/channel/UCTx3-1Fka35VriJSmqzpaIwとみビデオhttps://www.youtube.com/channel/UCg5ZU7dFNu2pmCIBAoaIjAQ●チャンネルメンバーシップ限定動画やオフショット、メンバー専用絵文字など！登録はこちら！https://www.youtube.com/channel/UCpOjLndjOqMoffA-fr8cbKA/join限定動画一覧はこちら！https://www.youtube.com/playlist?list=UUMOpOjLndjOqMoffA-fr8cbKA●グッズ、LINEスタンプオリジナルグッズhttps://muuu.com/collections/27408-895しゃべる！水溜りボンドhttps://store.line.me/stickershop/product/17651水溜りボンド スタンプhttps://store.line.me/stickershop/product/11200818/ja【それぞれのSNS】●Twitterカンタhttps://twitter.com/kantamizutamariトミーhttps://twitter.com/miztamari_nikki●Instagramカンタhttps://www.instagram.com/kanta199404/トミーhttps://www.instagram.com/tommymizutamaribond/●TikTokカンタ ​https://www.tiktok.com/@kantamizutamaribondトミー https://www.tiktok.com/@tommy0726●LINE公式アカウントhttps://lin.ee/cVkWzGW最新情報不定期配信中！【よく使ってる素材元】友人のGT-Kさん https://twitter.com/gt_k_2014?lang=jaProduction Music by http://www.epidemicsound.comMusic-Note.jpPIXTA#水溜りボンド
Jy-QS27q7lA,Mrs. GREEN APPLE「ケセラセラ」Official Music Video,2023-04-25T12:00:09Z,UCpFgmZm65yOU5X-hmWkWjuw,Mrs. GREEN APPLE,10,23.27.04,760259,40311,2643,False,False,"ABCテレビ・テレビ朝日系連続ドラマ「日曜の夜ぐらいは...」主題歌Mrs. GREEN APPLEDigital Singleケセラセラ2023年4月25日(火)リリースhttps://lnk.to/mga_qss=============================================ケセラセラ今日も唱える限界？上等。やってやろうか。　　　　　　　　愛を捨てるほど暇じゃない いつもAll right All right　ここを乗り越えたら 楽になるしかない　　　痛み止めを飲んでも消えない胸のズキズキが些細な誰かの優しさでちょっと和らいだりするんだよな負けるな　　　　　　今日も踏ん張って固めた殻で身を守ってまた諦める理由探すけど、ケセラセラ今日も唱える限界、上等。妬ましさも全部不幸の矢が抜けない日でもAll right All right　食いしばってるでもね、今日はちょっとだけご褒美をわかっているけれど　　　　　　私を愛せるのは私だけ。生まれ変わるなら？「また私だね。」ひとりぼっちだと気付いても　　　　繋がりは消えるわけじゃない　　　　  　たまにがいい たまにでいいちゃんと大切だと思えるから貴方の幸せを分けてほしい悲劇の図鑑私ってそう。仕方ない程 自分よがりバイバイ 幼き愛の日々いいよもう 願うは「はじめから」　　　　ベイベー 大人になんかなるもんじゃないぞツァラトゥストラ　　　　　　　　ケセラセラ今日も唱える何のせい？誰のせい？勝てなくたっていい負けない強さを持ちたい そうさAll right All right　　　乗り切ってみせる　　　　　　　　　　　　　　　　　　　　ケセラセラ　　　　　　　　　　　今日も言い聞かせる不幸の矢が抜けない日でもAll right All right　止まらないで居よう。だから、今日は　　　　　　　　　　　　　ちょっとだけご褒美を笑える日は来るから。私を愛せるのは私だけ生まれ変わるなら？「また私だね。」　　　　　　　　　　　　　　　　　　　　　　バイバイ 無頓着な愛の日々ファンファーレ 喜劇的な「つづきから」ベイベー 大人になんかなるもんじゃないけどケセラセラバイバイ 空っぽ器にヒビファンファーレ 明日も「つづきから」ベイベー 大人になんかなるもんじゃないけど　ケセラセラなるようになるのさケセラセラ=============================================CASTNANAMI YAMAZAKI SOUDAI KADOTAMIKI KANAIGEN SUZUMASAYUJI INANOBENUTS TANAHASHIMICHIKO TOMURAYOSHIHIRO ISHIZUKA YU YAMAMOTOHAYATO KOUSAKAYUTA SATOKOUSEI ARAISHINSUKE SAKURAIRUKA WAKABAYASHISAKURA KUMAGAIHANANO YAMAMOTOORCHESTA　CASTKON SHIRASUNAMI KOIZUMIREI TAKATSUKIYOSHIKI OKAZAKIAZUSA HASEGAWAMARUTAISHU YONEHARAMANA ITOI TAKUMI KODATAKUMI SHIRAKURAAZUMI TEZUKAYUNA MATSUURAHIDEAKI KOYANAGIYUKI　KOITABASHIYUKI IKEDAMARCHING BANDGENESISDIRECTORFUJIMARU TOTSUKACINEMATOGRAPHERCHIGI KANBE1ST ASSITANTCAMERAYUKIKO MURAYAMA2ND ASSITANTCAMERAMEGU ISHIHARARYO HOSOI3RD ASSITANTCAMERASYUNKI ITOLIGHTING DIRECTORHARUKA HARAZAWAASSISTANT LIGHTING DIRECTORDaichi TokuhiroLIGHTING ASSISTANTSATOSHI IKAIYUKI OGAWAMASAYUKI KAWATAMAORI SAITOARATA NAKATSUKAKAZUYA NAKAMURAHIROKI MORIKAWAKEY GRIPEIJUN KIKUCHI（NKL）SHINYA NAKANO（NKL）RIKU KAWANA（NKL）ART DESIGNERSHINNOSUKE WADAART DESIGNER ASSISTANTYUYA MIMURAYOKO ARAIASSISTANT DIRECTORNAOKI ATARASHICOSTUME DESIGNER/StylistMIKI ASANOSTYLIST ASSITANTHARUKA FUJIIHARUKA NAGAMATSUMOE ANDOSPECIAL EFFECTS MAKEUPEMI HIRASE（DEMENTIONS）HIROKI KABEYA（DEMENTIONS）ARTIST HAIR STYLINGMIKI MASUEARTIST MAKEUPMIKI PARKCAST MAKEUPSAYUMI ONOCASTING（ACTOR）HANNA WAKUDA（SKALY）CASTING（MUSICIAN）RYOSUKE MOZUMI（FACE MUSIC）MARCHINGBAND MANAGERYUMI YAMAGUCHI（GENESIS）CG PRODUCERTATSUYA FURUHATA(KASSEN)CG LINE PRODUCERSHIKO (KASSEN)CG DIRECTORRAY WAKUI (VeAble)CG DESIGNERYUMA YAMAMOTO TSUMUGISACHIKO15KAZUYA KAKU MATTE PAINTERHITOMI MIYABECOMPOSITORHIROSHI SAITO(Pinapics)CONCEPT ART PRODUCERRYO YAMAMOTO(WACHAJACK)CONCEPT ART PRODUCTION MANAGERMATILDA GUSTAFSSON(WACHAJACK)CONCEPT ART DIRECTORFUJIHIKO SAWAI（WACHAJACK）CONCEPT ART DESIGNERDI WU (Art Photon Studio)MATCHMOVE ARTISTNAOKI KOREMATSU(CGSLAB)COLORISTHARUKA OKUTSU（i7）ONLINE EDITORTOYOKAZU TANNO（IMAGICA EMS）ASSISTANT ONLINE EDITORKAORI KOMATA（IMAGICA EMS） YUSUKE NAKANO（IMAGICA EMS）  AKINOBU KUROIZUMI（IMAGICA EMS）  MA/MA MIXERKOMATSU TATSUYA（IMAGICA EMS）ASSITANT MIXERMIZUKI SAKAMOTO（IMAGICA EMS）SPECIAL THANKSTOKYO TOWER INCBILLSTAGE INCPRODUCTION MANAGERKOHKI MUGIIKATSUYA ITOIGAWARYOTA TERAGAKIMIRI YATSUZUKA（EXOTICA）PRODUCERAKINORI SASAKI（SHOW TiME INC.）PRODUCTIONSHOW TiME INC.=============================================ABCテレビ・テレビ朝日系連続ドラマ「日曜の夜ぐらいは...」2023年4月30日（日）スタート　毎週日曜よる10時放送番組公式ホームページ https://www.asahi.co.jp/drama_22_abctv15秒ティザー動画 https://youtu.be/wIbko7UG_ewPR スポット https://www.youtube.com/watch?v=SuUTNBpHRUY公式Twitter  @nichigura_abc　公式Instagram  @nichigura_abc　公式Tiktok  https://www.tiktok.com/@nichigura_abc?_t=8biwRfh3HAP&_r=1=============================================Mrs. GREEN APPLE5th Original Full AlbumANTENNA2023年7月５日（水）発売予約はこちらから → https://lnk.to/MGA_ANTENNAecFC会員受注生産限定 “JAM'S BOX”【CD + Blu-ray + GOODS 8種】PRON-1061 ¥20,000＋税　　＜GOODS＞オリジナルワイドTシャツ（フリーサイズ）★フィルム風クリアステッカー◆【大森元貴監修】フロントポケットミニショルダーバッグ【若井滉斗監修】シューレース(2ペア) & ソックス セット【藤澤涼架監修】チェンジングマグカップ万年カレンダースライドミラーキーホルダースマホショルダーストラップ完全生産限定BOX【CD + Blu-ray + GOODS 2種】UPCH-29458 ¥8,000＋税　＜GOODS＞オリジナルワイドTシャツ（フリーサイズ）★フィルム風クリアステッカー◆初回限定盤【CD + DVD】UPCH-29459 ¥3,990+税 　 通常盤【CD】UPCH-20655 ￥3,000+税 　※GOODSのうち、★と◆は同一の製品となります。※特典映像のBlu-rayとDVDの収録内容は同一となります。============================================Mrs. GREEN APPLE DOME LIVE 2023 “Atlantis”2023年8月12日(土) 埼玉・ベルーナドーム（西武ドーム）2023年8月13日(日) 埼玉・ベルーナドーム（西武ドーム）特設サイト →　https://mrsgreenapple.com/pages/dome2023============================================Mrs. GREEN APPLE ARENA TOUR 2023 “NOAH no HAKOBUNE” 2023年7月8日(土) 埼玉・さいたまスーパーアリーナ2023年7月9日(日) 埼玉・さいたまスーパーアリーナ2023年7月15日(土) 大阪・大阪城ホール2023年7月16日(日) 大阪・大阪城ホール2023年8月3日(木) 愛知・Aichi Sky Expo2023年8月4日(金) 愛知・Aichi Sky Expo特設サイト → https://mrsgreenapple.com/pages/arenatour2023#ケセラセラ#日曜の夜ぐらいは#MGA_ANTENNA#MrsGREENAPPLE"
