video_id,title,publish_time,channelId,channel_title,category_id,trending_date,views,likes,comment_count,comments_disabled,ratings_disabled,description
lBlAIr50VHo,[SUB] 한 개도 취하지를 않는 기하한 삼촌😊 [차린건 쥐뿔도 없지만] EP.16 #이영지 #장기하 (ENG/JPN/SPA/IND),2023-04-25T10:00:26Z,UChdqwmHLPoL3UJmm9Fw-LsA,차린건 쥐뿔도 없지만,22,23.27.04,2409631,55130,3027,False,False,"🔥차린건 쥐뿔도 없지만 열여섯 번째 축복 대상🔥 말하는 노래의 1인자🎵음악계의 음주 시인🍻 장기하💙기다렸습니다.. 제대로 모시겠습니다🔥젠틀 선비😊.. 인 줄 알았던 그,,,이런 모습 처음이햐〰( °̀ᗝ°́)و.*･ﾟ✧영지 놀리기 바쁜 장꾸 삼촌 그 잡채😝그리고 4학년 선배릠께서 하사하신새로운 주(酒)훈까지..❤‍🔥40대 중에 제일 귀여운 남자, 장기하😙볼 건지 말 건지 나도 몰라💖(봐주세요)=========================* 경고 : 지나친 음주는 뇌졸중, 기억력 손상이나 치매를 유발합니다. 임신 중 음주는 기형아 출생 위험을 높입니다.[차린 건 쥐뿔도 없지만] 4월 28일(금) 저녁 7시 EP.17 공개 🥂 구독 & 좋아요 & 알림설정 필수 🥂━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ [차린건 쥐뿔도 없지만] 이영지의 1:1 취중진담 프로젝트🍹 매주 금요일 오후 7시 업로드🍸구독하기 ▷https://www.youtube.com/channel/UChdqwmHLPoL3UJmm9Fw-LsA🍺CONTACT ▷ @youngji_gbbul_nocharim 🥂광고문의   ▷ Boxmedia.ad@gmail.com ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━#유료광고포함  #차린건쥐뿔도없지만 #차뿔없 #이영지 #LeeYoungji  @이영지#장기하 #해 #ChangKiha #"
-GQg25oP0S4,SEVENTEEN (세븐틴) '손오공' Official MV,2023-04-24T08:58:11Z,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,10,23.27.04,27905402,1204342,105619,False,False,"SEVENTEEN (세븐틴) '손오공' Official MV#SEVENTEEN #세븐틴#FML#손오공 #SuperCredits:Production｜OUI PRODUCTIONDirector｜Oui KimProducer｜Yeonjin Kim, Hyunsik Bang1st AD｜Huiwon Song2nd AD｜Sunyoung Kim, Hyeri ShinDirector of Photography｜EumKoFocus Puller｜Youngwoo Lee2nd AC｜Eunil LeeDIT｜Yuntae Ko3rd AC｜Donghyun LeeScorpio Crane 38ft｜Service Vision KoreaHead Tech｜Taehyun ChoiCrane Oper｜Jisoo WooCrane Tech｜Hakser KimAssist｜Bumki Lee, Woojin ImDrone Team｜GodFingerDrone Opreator｜Minjae LeeGimbal Operator｜Junhwan Cha1st Assist｜Youngjun Park2nd Assist｜Euntae LeeGaffer｜Joonghyuk JungCrew｜Hyunsuk Kim, Minhyeok Back, Hwayong Chung, Dongyun Sin, Yusung Han, Youngmin ChoiShow Light｜Jshow companyCrew｜Minseok Choi, Kisoon Kwak, Yebum Bang, Junho Jeong, Jiwoong Han, Yerim Kwon, Haeyoung Kang, Junki Jeong, Sebin Lee, Dongchul Park, Yongil Lee, Youngseo Park, Junhee SongArt｜FourArt Director｜Heeju ParkArt team｜Hilda Yoon, DR Han, Jihyun Yoon, Dongwook Won, Dongsuk Won, Hwandyek BaekSFX｜DRAGONSFX Representative｜Choulyoung ParkSFX Head｜Wonjun Oh, Jaesung ParkSFX Team leader｜Chongyoung SeolSFX Team member｜Youngmin Park, Junhak LeeLocation Team｜it placeCrew｜Eunjoo Choi, Kyeongwon KimProduction Assistant｜Taein Jung, Dongkwon Kim, Hyeoksu JangVFX｜SECONDFLOORVFX Supervisior, FX Lead｜Daeyoung Byun2D Composite Lead｜Ayoung LeeVFX｜BYTS2D Composite Artist｜Daecheol Ha, Kyeongjin Lee2D Cleaning｜CORE StudioCrew｜Dohan Kim, Miyeon LeeColorist｜Changbeen YuAssist｜Soyeon KimConnect with SEVENTEENOfficial Homepage : http://www.seventeen-17.comOfficial YouTube : https://www.youtube.com/pledis17Official Twitter : https://twitter.com/pledis_17Official Instagram : http://www.instagram.com/saythename_17Official Facebook : https://www.facebook.com/seventeennewsOfficial TikTok : https://www.tiktok.com/@seventeen17_officialOfficial Weverse : https://www.weverse.io/seventeenOfficial Fancafe : http://cafe.daum.net/pledis-17ⓒ PLEDIS Entertainment. All Rights Reserved"
zCYgokuaenY,성시경의 먹을텐데 l 논현동 홍명 1탄 (with. 싸이),2023-04-26T09:00:09Z,UCl23-Cci_SMqyGXE1T_LYUg,성시경 SUNG SI KYUNG,24,23.27.04,853349,19567,1805,False,False,[홍명]서울 강남구 논현로131길 10 미현빌딩 1층 홍명 (논현동 37-9 홍명)#성시경 #먹을텐데 #성시경먹을텐데 #먹텐 텐#백만유튜버 #본업 #가수 #초대먹텐#싸이 #박재상 #월드스타 #먹텐찐시청자 #시청자초대#군만두 #수제만두 #고량주 #정수리#강남 #논현동맛집 #중국집 #중식
6UoDF8l7K8c,🧳EP.1-1ㅣ감독님의 과분한 사랑에 불만 토로하는(?) 겁리스 드림팀ㅣ🧳출장십오야2 X 드림,2023-04-26T09:58:07Z,UCQ2O-iftmnlfrBuNsUUTofQ,채널 십오야,24,23.27.04,819795,16099,774,False,False,"#유료광고포함 #박서준 #아이유 #김종수 #고창석 #정승길 #이현우 #양현민 #홍완표 #허준석 #출장십오야2부르면, 달려 갑니다!영업재개 예능배달서비스 [출장십오야2]출장 소식이 궁금하다면?https://bit.ly/2RpuQEt"
5vbNvTci_qw,Cambridge Students Try Korean Instant Noodles for the First Time!,2023-04-26T11:42:20Z,UCg-p3lQIqmhh7gHpyaOmOiQ,영국남자 Korean Englishman,23,23.27.04,1735050,94869,5052,False,False,"Today we visit students at Cambridge University to introduce some classic Korean instant ramyeon, and show them the proper way to have them!A big thank you to St John's College for hosting us and letting us film!--오늘은 캠브리지 대학생들에게 한국 라면을 소개하러 갔는데요! 라면을 제대로 먹는 방법까지 다 전수 해주고 왔답니다!이번 촬영에 흔쾌히 응해준 St John's College 기숙사 에게 감사의 말씀을 전합니다!"
bCvG550D-GI,[밥묵자] 카지노의 존이 왜 여기서 나와?(feat. 김민),2023-04-26T09:00:31Z,UCSc2DcSzzjHgBn8Hg0KG7PA,꼰대희,23,23.27.04,947267,20367,2224,False,False,"* 타인을 비방하는 악의적, 모욕적인 댓글은 사전 고지없이 차단되거나 삭제될 수 있습니다.*비즈니스 문의jdbent001@gmail.com*틱톡https://vt.tiktok.com/ZSJdgRuxJ/*인스타그램https://www.instagram.com/ggondaehee/#꼰대희 #밥묵자 #김민 #카지노 #존"
NFnAuiklEug,TAEYANG - ‘Shoong! (feat. LISA of BLACKPINK)’ PERFORMANCE VIDEO,2023-04-25T09:01:51Z,UCg8ZzloDPTrOiGztK0C9txQ,THEBLACKLABEL,10,23.27.04,21699637,0,63329,False,True,"https://TAEYANG.lnk.to/DownToEarthTAEYANG - ‘Shoong! (feat. LISA of BLACKPINK)’ PERFORMANCE VIDEOOh 너를 보면 내 심장은 쿵내 시선은 너를 향해 Zoom언제든지 어디라도 Vroom Vroom오늘 너는 파란색평소보다 조금 차갑게우리 요즘 예전 같지 않다고말해도 웃어넘겨 That’s all I know어린애 같은 내 장난진심이 아냐 난 Nah Nah알잖아 나에겐 결국 너뿐인걸너에게로 달려가는 중람보르기니보다 빨리 슝도착지는 언제나 YouI’m like 슝너에게로 달려가는 중Don’t you worry I’m coming soon네가 좋아하던 나의 춤Like 슝슈웅 슈웅 슈웅슈웅 슈웅 슈웅너에게로 달려가는 중슈웅 슈웅 슈웅람보르기니보다 빨리 슝슈웅 슈웅 슈웅Coming for you in the fast laneGot me all fired up full gas tankPut the pedal to the floor when I hit the doorGive me everything you got like the bank is owedYeahYou pull up in the lamboWith that drip that shit like candlesAnd I lose my grip where the handleAnd I’d choose you over the band doeYou keep my engine on purrYou could never get swervedHow you move round the curvesMake me oohYou got that thing that I wantKnow your love hit the spotAnd you never should stopBaby, shoong마치 사랑은 불장난같다 하지만 난 Nah Nah알잖아 나에겐 오직 너뿐인걸너에게로 달려가는 중람보르기니보다 빨리 슝도착지는 언제나 YouI’m like 슝너에게로 달려가는 중Don’t you worry I’m coming soon네가 좋아하던 나의 춤Like 슝슈웅 슈웅 슈웅슈웅 슈웅 슈웅너에게로 달려가는 중슈웅 슈웅 슈웅람보르기니보다 빨리 슝슈웅 슈웅 슈웅Oh 너와 있으면 여기가 천국너 대신에 I would die for you그 어떤 것보다 아름다운 You너에게로 달려가는 중람보르기니보다 빨리 슝도착지는 언제나 YouI’m like 슝너에게로 달려가는 중Don’t you worry I’m coming soon네가 좋아하던 나의 춤Like 슝슈웅 슈웅 슈웅슈웅 슈웅 슈웅너에게로 달려가는 중슈웅 슈웅 슈웅람보르기니보다 빨리 슝슈웅 슈웅 슈웅[Credits]Lyrics by TAEYANG, KUSH, Vince, Bekuh BOOMComposed by KUSH, Vince, Dominsuk, Bekuh BOOMArranged by 24, R.Tee, Vince, DominsukChoreography by Bailey SokTAEYANG EP ALBUM [Down to Earth]The Official Merch PRE-ORDERhttps://TAEYANG.bio.to/D.t.E_MerchMore about TAEYANG @https://www.instagram.com/__youngbae__/https://www.facebook.com/TAEYANGhttps://twitter.com/Realtaeyanghttps://www.tiktok.com/@taeyang#TAEYANG #LISA #Shoong   #태양 #리사 #슝 #DowntoEarth#THEBLACKLABEL #더블랙레이블"
ysW2FxaFOkI,5월 31일 개봉 확정! [범죄도시3] 티저 예고편,2023-04-26T06:01:04Z,UC8rSvDTd9VI0JYUN9N4_yGQ,ABOentertainment,24,23.27.04,623419,5262,1020,False,False,더 이상의 설명은 생략한다.원투 원투 아니고 [범죄도시3] 5월 31일 대개봉!🔥#범죄도시3 #5월31일대개봉#마동석 #이준혁 #아오키무네타카#DonLEE #LEEJunHyuk #AOKIMUNETAKA
FXW0aCd3PbY,이강인 '마라도나 빙의'…70M 폭풍 드리블 골 #SPOTIME,2023-04-24T02:45:55Z,UCnXNukjRxXGD8aeZGRV-lYg,스포타임,17,23.27.04,3535211,38560,4850,False,False,"#스포타임 #프리메라리가 #이강인 #마요르카 #멀티골지난 24일 헤타페전에서 멀티골을 넣은 이강인!특히 '70M 드리블 골'은 이날 경기 하이라이트였습니다.구단은 KING, 라리가는 승리의 설계자라고 찬사를 보냈습니다!SPOTVNEWS ☞ http://www.spotvnews.co.kr/ SPOTV NOW ☞ https://www.spotvnow.co.kr/네이버 TV ☞ https://tv.naver.com/spotvmaster/clips카카오 TV ☞ https://tv.kakao.com/channel/1706/video페이스북 ☞  https://www.facebook.com/spotvnews내가 원하는 스포츠 상품 구매는? ☞  https://www.spotvmall.com"
6sgjYvrj4cQ,침펄풍과 런칭 파티.. 결국.. 마라먹었습니다 [라면꼰대4] EP.01,2023-04-25T09:00:07Z,UCgiO7Kxib0SZEG0DoeuBkdQ,the BOB studio | 더 밥 스튜디오,24,23.27.04,561443,14007,1924,False,False,"라면꼰대의 시작은 역시@calmdownman_official 님과 @joopearl 님이죠..오늘은 유서깊은 장소에서 파티가 있답니다.김풍 작가님만의 개성 넘치는 파티에 혼절한 침펄...?!파티룩으로 둔갑한 군복쇼는 덤..그 기묘한 현장에 여러분들을 초대합니다!☕ 본 영상은 카누의 유료 광고를 포함하고 있습니다 ☕* KANU 카누 공식 홈페이지 https://www.kanu.co.kr/* KANU 카누 공식 네이버 브랜드 스토어 https://brand.naver.com/kanu[라면꼰대 시즌4]📌 더 다채로운 라면의 숨결을 찾아서...📌 매주 (화) 오후 6시 공개00:00 기묘한 파티의 시작00:58 예상치 못한 깜짝 손님04:48 먹고 싶은 거 사라매...07:46 군필자들이 환장하는 곳으로..09:56 사장님도 놀란 침착맨 파격 오버로크11:40 화사한 파티 속으로...15:02 제 1대 앰배서더(옾피셜)20:21 제사..아, 아니.. 파티 상차림23:12 너희가 제일 좋아하는 거로 골라봤어...26:34 분명 애프터눈 마라 파티였는데?29:32 마취: 마라에 취하다31:52 랜덤박스 포춘 공개34:00 서준맘과 뀰이 대디의 첫조우더밥스튜디오 구독하기 👉 https://www.youtube.com/@thebobstudio#THEBOB #더밥스튜디오 #라면꼰대 #라면꼰대4"
