video_id,title,publish_time,channelId,channel_title,category_id,trending_date,views,likes,comment_count,comments_disabled,ratings_disabled,description
pov0FfWgZ9o,Prakash Saput New Song Sakambari [ Phoolmaya ] Sunil Thapa | Kusum Sharma | Official MV 2023,2023-04-13T09:00:08Z,UCLjMHtCwaTy4aCs-EVudqYQ,Prakash Saput,10,23.27.04,17572769,489530,22612,False,False,"In the lyrics of Sakambari song, it is shown how a common man goes on the wrong path due to his compulsion and ambition, while through the video, Sexual Harassment in different areas is presented symbolically.Prakash Saput Presents:- New Nepali Song 2023|| Sakambari सकम्बरी ||#prakashsaput #sunilthapa #kusumsharma#newnepalisong #nikssharma#sudipsagar-----------------------------------------Official TikTok:- https://vt.tiktok.com/ZS8noNcX1/Spotify:- https://spoti.fi/3msgV2BiTunes:- https://apple.co/3oeB8sY🎶 Audio Credits:- ♬ Vocal:- Prakash SaputBarta Gandharbha♬ Lyrics | Music:- Prakash Saput@PrakashSaput ♬ Music Arranger:- Sudip Sagar♬ Audio Mixing:- Shyamshwet RasailyPrisma Studio♬ Background Score:- Sudip Sagar Kiran BK♬ Flute:- Ratna BK@RatnaBKUtsukratnabk ♬ Sarangi:- Hemanta Kanchha Rasaily@HemantaKanchhaRasaily ♬ Guitar | Benjo:- Sanjeev Baraili@sanjeevbaraili2239 ♬ Dholak | Tabala:- Bhuwan Gandharbha♬ Madal:- Poshan Gharti Magar♬ Recordist:- Kamal Thapa Govinda Anek-----------------------------------------🎬️ Video Credits:- 🎬️ Story | Direction:- Prakash Saput🎬️ Co-Direction:-Sunil BK@BrothersBondOfficial 🎬️ Creative & Casting Direction:- Bishal Ghimire🎬️ Choreographer:- Bibek Khadka🎬️ Cast:- Sunil ThapaKusum SharmaNiks SharmaSanjog RasailySaraswati AdhikariSarita RajopadhyayaSalik Bhandari& Others🎬️ Cinematographer:- Nabaraj Uprety(Maan Creation)🎬️ Edit:- Prabin BhattaBP Films Nepal🎬️ Color | VFX:- Milan Bishwokarma🎬️ Photography:- Janak Devkota🎬️ Publicity Design:- Gajendra ChaliseCreative Ideas🎬️ Graphics & Title Animation:- Uttam Kumar KarkiSumeesha Creation@sumeeshacreation7381 🎬️ Title Typography Design:- Pawan Simkhada @pyaropawan 🎬️ Content Mangement and Digital Distibution:- Rajendra Aryal @RajendraAryal 🎬️ Production Manager:- Milan Katwal🎬️ Set Design:- Jata Shankar Gosai🎬️ Make Up Artists:- Bimala TamangSuman Lama🎬️ Fashion Designer:- Anisha Waiba🎬️ Camera Assistants:- Rajib ChhetriIshwor RijalRitesh Thapa 🎬️ Focus Puller:- Laxman Uprety🎬️ Light & Technical Management Team:- Sundar BaskotaLaxman KharelPrakash Kharel🎬️ Spot Boy:- DipakSamir🎬️ Equipment:- Chhaya Creation🎬️ Transportation:- Kumar Gurung🎬️ Kitchen:- Harka Lama🎬️ Special Thanks:- Everest Hospital, BaneshworGlow Beauty Studio, Kathmandu MallBlack & Gray Tatoo Studio, Kathmandu MallShrey Courtyard, AloknagarHotel Sabrina, Golfutar🎬️ Thanks:- Dil Siris (kathalika.com) Lyrics:- कानमा झुम्काना तिम्लाई कल्ले किन्दियो नाकको बुलाकी तिम्लाई कल्ले किन्दियो..पाउमा लाको पाउजु, हातमा सुनको चुरा तिम्लाई कल्लले किन्दियो… फुलमाया ६जाग्यो रहर पापी शहरको छैन सिमाना आफ्नै रहरकोलौ धर्मै मास्ने जहरलौ रङ्गीन रङ्गीन रहर तिम्लाई कल्ले किन्दियो.. फुलमाया..जोवन साटेउकी धनको आसैले बहकायोकि तिम्लाई कसैलेहेर हिड्छेउ पर पर. हेर रातै स्कुटर…तिम्लाई कल्ले किन्दियो.. फुलमायाधुवाँ सरी मन उड़न दियौरफुलै सरी तन चुँडन दियौर…यस्तो आँखा खाने  डाईमण्डयस्तो ईमान खाने  घमण्ड तिम्लाई कल्ले किन्दियो.. फुलमायाघाटी निरै डाम के को होलानी राती तिरै काम के को होलानीओहो मुल्य बढी बढी, ओहो मोबाईल टिभी घडीतिम्लाई कल्ले किन्दियो.. फुलमायारस गालैको सुकी जानेछआफ्नै आत्माले थुकी जानेछयो वैश सधै फल्छ, यो जिवन यसै चल्छ तिम्लाई कल्ले भन्दियो.. फुलमाया Lyrics In English:- Kanma Jhumkana Timlai Kalle KindiyoNakko Bulaki Timlai Kalle KindiyoPauma Lako Pauju, Hatma Sunko ChuraTimlai Kalle Kindiyo, PhoolmayaJagyo Rahar Papi ShaharkoChhaina Simana Aafnai RaharkoLau Dharmai Masne JaharLau Rangin Rangin RaharTimlai Kalle Kindiyo, PhoolmayaJoban Sateuki Dhanko AashaileBahakayoki Timlai KasaileHera Hidchheu Para ParaHera Ratai ScooterTimlai Kalle Kindiyo, PhoolmayaDhuwa Sari Man Udna DiyauraPhoolai Sari Tan Chudna DiyauraYesto Aankha Khane DiamondYesto Iman Khane GhamandTimlai Kalle Kindiyo, PhoolmayaGhati Nirai Dam Ke Ko HolaniRati Tirai Kaam Ke Ko HolaniOho Mulya Badhi BadhiOho Mobile TV GhadiTimlai Kalle Kindiyo, PhoolmayaRasa Galaiko Suki JanechhaAafnai Aatmale Thuki JanechhaYo Baisha Sadhai PhalchhaYo Jiban Yesai ChalchhaTimlai Kalle Bhandiyo, Phoolmaya----------------------------------------Stream my songs on:- iTunes:- https://apple.co/3KBHl8tAmazon:- https://amzn.to/3KCG5BQSpotify:- https://spoti.fi/35UJ2PsApple Music:- https://apple.co/3pZvlWpTidal:- https://bit.ly/3I7C2fcAmazon Music:- https://amzn.to/3pTNZifSoundcloud:- https://bit.ly/3tPsNLDYouTube Music:- https://bit.ly/3CBSd3jDeezer:- https://bit.ly/3CE9E3sQobuz:- https://bit.ly/3HY5mVuNapster:- https://bit.ly/3hY31PFSocial Links:- Facebook:- https://goo.gl/QubDZCWeb:- https://goo.gl/6BdrgDTwitter:- https://goo.gl/1t8S62Instagram:- https://goo.gl/Tjii86Subscribe to me:- https://goo.gl/RbyyaS© & ℗ Prakash Saput, All Rights Reserved."
bhvXFiesEgo,दोस्ती🥹 #ytshorts #youtube #shorts,2023-04-09T08:16:19Z,UClNJdbiH8_p21eQ9DuR0esQ,Prashant Yadav Shorts,22,23.27.04,25390610,1802420,71729,False,False,
8ad6nES3WYk,NEPAL VS OMAN || ACC MEN'S PREMIER CUP || MATCH 7 || Road To Asia Cup,2023-04-21T11:36:22Z,UCreBLWjg751-BcFQFtNPPtA,OSR Sports,17,23.27.04,1063633,19187,111,False,False,"OSR Sports is authorized to upload this video. Using of this video on other channels without prior permission will be strictly prohibited. (Embedding to the websites is allowed)यस च्यानल मा रहेका  Video हरु कपि, Download गरी अन्य Channel मा upload गरेको पाएमा प्रचालित कानुन बमोजिम कडा भन्दा कडा कारबाही गरिनेछ । र सो Channel लाई बन्द गरिदिने छौ ।"
E2GM1OusdTI,The Kapil Sharma Show S2 | Salman Bhai हैं किस किसकी जान? | Pooja Hegde | Ep 319 | 16 Apr 2023,2023-04-23T17:30:01Z,UCpEhnqL0y41EpW2TvWAHD7Q,SET India,24,23.27.04,2143725,37118,1323,False,False,"Synopsis: Salman Bhai हैं किस किसकी जान? ----------------------------------------------------------------------------------------------------- Salman Khan along with his co-actor Pooja Hegde makes a royal entry on the sets in between the full shouting of the audience. Kapil praises Salman's new film 'Kisi Ke Bhai Kisi Ki Jaan' and his role in Pathan. He also mentions the huge fan following of Salman Khan. Then they had a fun-filled conversation about the ice cream candies. How will Kapil entertain them, Watch the episode and know more!!Show Name: The Kapil Sharma Show Season 2Guest Names: Salman Khan, Pooja Hegde, Raghav JuyalHost: Kapil Sharma, Archana Puran SinghEpisode: 319 - 16 Apr 2023Producers: Kapil Sharma#thekapilsharmashow #kisikabhaikisikijaan #salmankhan #poojahegde #raghavjuyal #setindia #दीकपिलशर्माशो  #comedy #archanapuransingh Click here to Subscribe to SET India: https://www.youtube.com/channel/UCpEhnqL0y41EpW2TvWAHD7Q?sub_confirmation=1Click here to Subscribe to SonyLIV: http://www.sonyliv.com/signinAbout The Kapil Sharma Show Season 2: ----------------------------------------------------------------Kapil Sharma is back with his gang - Bindu, Chandan, and 'mohalle ki dhoban' Gudiya. In tow is a new character, Maski, along with Goli, Roopmati, and more! Enjoy guaranteed laughter with Kapil and his antics as different celebrities join in.Click here to watch the full episode of The Kapil Sharma Show: https://www.sonyliv.com/dplnk?schema=sony://asset/1000216816 The Kapil Sharma Show S2 | Salman Bhai हैं किस किसकी जान? | Pooja Hegde | Ep 319 | 16 Apr 2023"
Q4atSvuD8rA,School Nahi janeka ka Bahana😂❤️ |End tak dekhna zaroor|😂 #shorts #funny #comedy #schoollife,2023-04-15T14:50:11Z,UCSNpkW6wDg-0Gf7nxk0aFBQ,Deepali Markam,22,23.27.04,38531800,1528508,12980,False,False,
C3rmFA23NOg,End tak zarur dekhna😂🤣 #trending #comedy #funny #viral #shorts,2023-04-21T14:40:51Z,UCIhJOWBJywuJKeF61CWCrMw,Noman Official,1,23.27.04,13054789,643005,1429,False,False,
1gxlLH6SEew,Papa ne bnayi beti ko gudiya  | Magical father | Sonam Prajapati,2023-04-22T15:00:01Z,UCsBbEuwX_rf2I3l2ucGABjw,Sonam Prajapati,22,23.27.04,12460591,281279,183,False,False,"Business Inquiry: sonam.official50@gmail.com______________________________________My Others Channel:*https://www.youtube.com/channel/UCKXibLTQ_ijPoFyWxf2juGA?view_as=subscriber*https://www.youtube.com/achannel/UCND5ppDpEt5pVqX-bHGpcjA/videos*https://www.youtube.com/c/SonamPrajapati►►Sister Channelhttps://www.youtube.com/channel/UCAQlKCfUMsMbxFZ7iK86_nA/videoshttps://www.youtube.com/channel/UCboFoXfar6344PLyTtHvf4A/videos______________________________________My social Links►►instagram   https://www.instagram.com/thesonamprajapati/►►Facebook fan page   https://www.facebook.com/TheSonamPrajapati/______________________________________AUDIO DISCLAIMER/CREDITS – Music from Epidemic Sound (http://www.epidemicsound.com)DISCLAIMER: The information provided on this channel and its videos is for general purposes only, does not intend to hurt anyone's sentiment, religion, etc., and should not be considered as professional advice as these videos are for Fun."
maIVdSDCs9s,Momo vs Spring roll 🥵🥵 #shorts #trending #trendingshorts #viral #foodlover,2023-04-19T08:48:41Z,UCXgv6qemwooHi71a7-htxAw,Sandeep Bhatt Vlogs,22,23.27.04,10713627,612957,280,False,False,
-C5SxShKWus,meri maa ke barabar koi nahi ❤️ #short #emotional #motivational #maa#trending#vairl,2023-04-21T08:53:52Z,UCjwVFhVWWpJ_GujZpa_d5bA,Sarlahi Music,10,23.27.04,25660370,376036,763,False,False,
d9eTTsaFZ4s,Finally I Caught Ice Cream Thief - Pinchu  #gadgets #shorts,2023-04-17T09:52:24Z,UCBbeXVY55K5estTHrKWJ5Yg,Tech FC Shorts,28,23.27.04,17593734,993515,767,False,False,"Finally, i caught ice cream thief - Pinchu #gadgets #shorts #securitycamera"
