video_id,title,publish_time,channelId,channel_title,category_id,trending_date,views,likes,comment_count,comments_disabled,ratings_disabled,description
QSNH2ElRnfI,КУПИЛ И СЪЕЛ НАСТОЯЩЕГО МАМОНТА ... Это Реально,2023-04-26T20:24:25Z,UCwipTluVS2mjuhPtx2WU7eQ,Дима Масленников,24,23.27.04,1487764,226491,8895,False,False,"CoolCola - тот самый вкус!https://vk.com/nonalco.ochakovo Ролик Андрея Зайкина - https://www.youtube.com/watch?v=uECTDY9iJKUРолик Супер Стаса - https://www.youtube.com/watch?v=uokVO4ywmeIЭто не просто ролик, Это история! Я полетел в Якутию, КУПИЛ МАМОНТА И ПРИГОТОВИЛ ЕГО! Да купил МАМОНТА и СЪЕЛ ЕГО это не кликбейт а реальная история которую мы сотворили! Так что досмотрите этот ролик до конца и поставьте лайк от души! Мой телеграм канал: https://t.me/maslennikovligaКУПИЛ И СЪЕЛ НАСТОЯЩЕГО МАМОНТА ... Это РеальноПодпишись на меня в соц. сетях:Группа в вк - https://vk.com/pognalishowTik-tok- https://vm.tiktok.com/QLwaf6/VK - http://vk.com/dima_maslen#масленников #мамонт #едаРеклама. АО Московский пиво-безалкогольный комбинат ОЧАКОВО, ИНН 7729101200erid: LjN8Jvz1J"
qLlz8fgfuIc,ПОДАРИЛА ПОДПИСЧИКУ АЙФОН😍 #shorts #iribaby #пранк,2023-04-26T13:47:36Z,UCsaCuCnU5J-NZh0hYCtIoFQ,IRIBABY,24,23.27.04,619540,53597,188,False,False,
C26s1mliBmU,Остались НАВСЕГДА на НЕОБИТАЕМОМ ОСТРОВЕ!!!! *помоги нам выбраться*,2023-04-26T12:04:16Z,UCUHQKxU-_DWsrwBxlKWgsew,ЕГОРИК,24,23.27.04,968577,93673,4804,False,False,"VK Клипы — сервис коротких видео №1. Смотри то, что тебе нравится, или снимай сам и становись популярнее.https://clck.ru/349ChuОстались НАВСЕГДА на НЕОБИТАЕМОМ ОСТРОВЕ!!!! *помоги нам выбраться*В этом видео мы отправились на необитаемый остров без еды и с маленьким количеством воды. Мы будем находиться на острове до тех пор, пока на канале не будет 10.000.000 подписчиков, а по достижению определенного количества нам будут давать вспомогательные вещи такие как: рис, скотч, удочка и т.д.Подписывайся на канал чтобы мы поскорее оказались дома! Мой ТЕЛЕГРАМ-КАНАЛ - https://t.me/egorikvtgМой трек - https://band.link/shkredjeepМой ТВИЧ - https://www.twitch.tv/egorikshkredМое Сообщество ВКонтакте - https://vk.com/egorikshkredoriginalПочта для сотрудничества - egorshkred.pr@gmail.com"
p3G-ksfITes,"ДУХ МОЕЙ ОБЩАГИ | Как живой, но только не живой - 4 серия",2023-04-26T20:59:19Z,UCXMxAs6yUE_DKwpi_KVDB5w,Феникс Анимация,1,23.27.04,515277,94210,4846,False,False,"Проекты Студии теперь можно посмотреть в онлайн-кинотеатре Okko!Следи за точными датами премьер на страницах наших сериалов: https://okko.tv/collection/phoenix-animation-collectionАНИМАЦИЯСергей Румянцев, Мария Костюнина, sobakanadereve, Poli Brando, Дмитрий Лакеев, Яныч, Наташа Давыдова, Екатерина Керосинская, DarkLie, AFGOVICH, Борис Багдалов, Коструба Ангелина, Winches Paul, Амина Тазиатова, Snraijuu, Саша Руш, Flamingo, Люба Чулкова, Самуэль Дьяченко, Арианна Штейн, Elissa, LEXSEY, Амир Махмутов, Анастасия Новикова, Ирина Стрекалова, Алдияр Асауп, Анастасию Ботвинник, Ильзара Крылышкина, котовата, Настя Скрипачева, Мария Щербакова, Freezy18, Pauline Walkman, Ruby Ray, Софрон Варламов, Данил Попов, Koens, Анна Артамонова, Pony Dwarf, Gaukhar Sadykova, Лексий Точкин, Ваня Tale, Лина КилеваяХУДОЖНИКИ ЛЕЙАУТОВАлдияр Асауп, LEXSEY, Алёна Пилицина, Амир Махмутов, котовата, AFGOVICH, Elissa, Женя Красикова, Ильзара Крылышкина, Люба Чулкова, Анастасию Ботвинник, Миша Назаров, Наталья Рабаданова, Самуэль Дьяченко, Сандра Вивьен, Софрон Варламов, sobakanadereve, Фризи Лесоповал, Jessi Jus, Ruby RayХУДОЖНИКИ ФОНОВАля Гайнутдинова, Анна Ульяновская, Влада Перепечина, Саша Руш, Лизарт Лотте, Катя Волокитина, Костя Мурчалов, Надя Исаева, Niki_Iyulin, Николь Гортез, Софрон Варламов, Касарь, Таис Кравчик, sobakanadereve, Фёдор Попов, Anthony Smith, Дарья ПолянцеваСУПЕРВАЙЗИНГ:Лейауты - Миша НазаровФоны - Софрон Варламов, Саша РушОзвучка - Эдуард АйзатуллинАнимация - Левон Мамулов, Лина Килевая, Rikani, Павел Иванишин (IVA)РОЛИ ОЗВУЧИЛИ:Олежа - Максим АвдеевДима - Тимур ЯхлаковАнтон - Эдуард АйзатуллинКассирша Тамара - Макс МаннПреподаватель - Дмитрий ФилимоновМама Олежи - Валерия МартьяноваПапа Олежи - Михаил ЧернякОБРАБОТКА ЗВУКА - Иван ШухинСАУНД-ДИЗАЙН И СВЕДЕНИЕ - Макс Манн3D-МОДЕЛИ -Софрон Варламов, Арсентий ЦукантовАНИМАТИК - Лина Килевая, Мила РумянцеваКОМПОЗ - Никита Диченко, SnRaijuuМУЗЫКА - Дарья Дерюгина, Андрей Афанасьев🔥 Сайт студии:https://phoenix-animation.com/ 🌍 Наши соцсети:Вконтакте - https://vk.com/fedorcomixТелеграм - https://t.me/phoenix_animation 🎓 Официальная Викия от фанатов и авторов Феникса:https://phoenix-studio.fandom.com/ru/🏠 Где купить наши комиксы и мерч:28-ой - https://www.28oi.ru/collection/phoenixЛабиринт - https://www.labirint.ru/authors/209421/Ozon - https://www.ozon.ru/seller/firebird-235944/products/Вайлдберис - https://www.wildberries.ru/seller/371144🍀  Реклама, заказы, иное сотрудничество - fedorcomix@tag.show"
cs3mhNMVQGM,#494 Гарримыки. Каспаров и другие обитатели профилактория,2023-04-27T04:00:27Z,UCARiiZ_Yoj5TFHBsBX6e7PQ,Шах и Мат - Михаил Шахназаров,22,23.27.04,85580,15109,1123,False,False,"Эко-посёлок «Седьмое Небо» https://bit.ly/ShakhiMat_Neb07 — альпийская деревня в Алтайских горах. Всего 4,5 ч лёта из Москвы. Цены в десятки раз доступнее, чем в Сочи или в хороших поселках Подмосковья. Беспроцентная рассрочкаБилеты на концерт:https://spb.ticketland.ru/kluby/klub-jagger/mikhail-shakhnazarov/Поддержка канала Шах и Мат по ссылке: https://www.donationalerts.com/r/shakhimatСтаньте спонсором канала, и вы получите доступ к эксклюзивным бонусам: https://www.youtube.com/channel/UCARiiZ_Yoj5TFHBsBX6e7PQ/join#МихаилШахназаров  #новостиАвторский канал Михаила Шахназарова. Короткие новости с комментариями, поэзия, проза."
ZpyfKe4LOLg,"ИГРА В ПРАВДУ 5 | ШАСТУН, ПОЗОВ, ДЖАБРАИЛОВ, СТАХОВИЧ, КОСИЦЫН",2023-04-26T14:29:30Z,UCVTpI-wtzm3FGKdNrfY9Nyw,Площадка+,23,23.27.04,473859,33981,761,False,False,"Скидка до 99% за бонусы СберСпасибо в Самокате: https://s.sber.ru/Jlz6zПодключайте Тариф UP от билайна, смотрите билайн тв и выгодно добавьте домашний интернет: https://clck.ru/34FYxqВ этом шоу мы ищем правду🔍 Дешёвые авиабилеты мы ищем на Авиасейлс✈️: https://i.avs.io/8ysj5dPb3XmBtzt1bFUq4u8ZSvuH9522knAPremruA5E8Каждому из нас дается звезда и правдивый факт о ней. Мы заранее придумываем еще 2 вымышленных факта. Задача игрока ввести в заблуждение как можно больше соперников, задача других участников найти правду. Кто угадал - получает балл, остальные ничего. Кто загадывал факты,  получает балл за каждого участника, который не нашел правду. Кто наберет больше баллов - победит в игре. Подписывайся на наше сообщество в ВК: https://vk.com/ploschadkaplusПодписывайся на наш телеграм канал, чтобы знать все новости про нас и наши шоу https://t.me/ploschadka_footballПо вопросам рекламных и коммерческих предложений ploshadka2022@gmail.comМы очень благодарны, что вы с нами! Давайте вместе делать этот мир лучше."
ognHtTa693E,"HIGHLIGHTS Man City 4-1 Arsenal | De Bruyne (2), Stones, Haaland Goals | Premier League",2023-04-26T23:00:17Z,UCkzCjdRMrW2vXLx8mvPVLdQ,Man City,17,23.27.04,3403299,87397,3619,False,False,"Manchester City are two points off top spot in the Premier League after a storming 4-1 victory over leaders Arsenal at the Etihad Stadium.Kevin De Bruyne’s seventh minute strike gave Pep Guardiola’s side and a raucous City support an early boost before John Stones’ header on the stroke of half-time doubled the lead.De Bruyne made it three early in the second period with a measured stroke after turning the ball over in Arsenal’s half.The Belgian was supplied excellently by Erling Haaland for both of his goals.Arsenal defender Rob Holding claimed one back in the closing stages to give the visitors a flicker of hope.However, Haaland completed the scoring in added time by squeezing a left-footed finish under Aaron Ramsdale.It's the Norwegian's 33rd strike of the season and takes him to a 38-game Premier League record, surpassing Mo Salah's tally of 32 in 2017/18.The victory completes the league double over our title rivals and extends our excellent Premier League form to nine wins in our last ten matches.With seven games to go and two games in hand on Arsenal, the destiny of what would be a third successive Premier League title and five in the last six seasons is in our hands.SUBSCRIBE! http://www.youtube.com/subscription_center?add_user=mancityhttp://www.mancity.comhttp://www.facebook.com/mancityhttp://www.twitter.com/mancityhttp://www.instagram.com/mancityhttps://www.tiktok.com/@mancityAbout the Official Man City YouTube Channel:Here you will find all the latest videos from Manchester City, including, all Premier League goals, highlights, behind-the-scenes footage, training and much more.Get closer to the likes of Jack Grealish, Bunny Shaw, Kevin De Bruyne, Lauren Hemp, Erling Haaland, Riyad Mahrez, Ellie Roebuck Phil Foden, Esme Morgan and the rest of Pep Guardiola & Gareth Taylor's teams!"
xDnZe1sHK08,ВСЕХ ЗАБАНИЛИ В БРАВЛ СТАРС (ТЕПЕРЬ ТОЧНО) #Shorts,2023-04-26T07:30:15Z,UCCTl8I2lMXfVAZa98gD7R-A,Dragon Docx,20,23.27.04,529029,48058,3166,False,False,"🐉 Мой тг с игровыми новостями и инструкцией: https://t.me/dragologyСегодня поговорим о блокировке Brawl Stars в России и Беларуси.______________________________💰 Я готов размещать рекламу на своем канале и работать с брендами, которые ценят свою репутацию.   ✉️ По рекламе, сотрудничеству писать на почту - dragondocx@alivestud.ioМой вк для ваших идей (не для рекламы): https://vk.com/dragon.docx❗ Почта для некоммерческих предложений, мероприятий, совместных съемок: dragon.docx@outlook.com"
iSsNz9NgYa0,Million jamoasi - Maruf Zelenskiy,2023-04-26T15:00:40Z,UC9OpmkDt-iR0sNAL29_zPJw,YangiKulgu Official,23,23.27.04,336585,3383,76,False,False,RizaNova ilovasini yuklab oling @ https://rizanova.uz/apps @ RizaNova - https://rizanova.com/@ YouTube - https://www.youtube.com/@YangiKulgu@ Instagram - https://www.instagram.com/yangikulgutv/@ Facebbok - https://www.facebook.com/YangiKulgu/@ TikTok - https://www.tiktok.com/@yangikulguuz
ij0J9KsgjA4,Батя и НЕ БЗДИ,2023-04-26T16:30:14Z,UCRkQ5F-b2qU2rYE7-GfGkOA,Виталий Оpехов,23,23.27.04,180682,12044,36,False,False,#батя #гаражПолная версия: https://youtu.be/NK5PBIAGPec
q9c3k9C648M,Каспаров – что происходит с Россией / вДудь,2023-04-25T07:37:09Z,UCMCgOm8GZkHp8zJ6l7_hIuA,вДудь,22,23.27.04,4362308,126944,38452,False,False,"Купить жилую и коммерческую недвижимость в Испании: https://estate-barcelona.com/18+ НАСТОЯЩИЙ МАТЕРИАЛ (ИНФОРМАЦИЯ) ПРОИЗВЕДЕН, РАСПРОСТРАНЕН ИНОСТРАННЫМ АГЕНТОМ ДУДЕМ ЮРИЕМ АЛЕКСАНДРОВИЧЕМ ЛИБО КАСАЕТСЯ ДЕЯТЕЛЬНОСТИ ИНОСТРАННОГО АГЕНТА ДУДЯ ЮРИЯ АЛЕКСАНДРОВИЧАГарри Каспаров – чемпион мира по шахматам, политик.0:00 Вперед!0:34 Мы – в Нью-Йорке2:45 Илон Маск назвал вас идиотом. Как вы отреагировали?5:03 Шахматы – полезная игра для жизни? 8:30 Еще один способ переехать в Европу  11:25 Человек и искусственный интеллект18:52 Кто сильнее: шахматист или компьютер? 23:30 Военные преступники и двоюродный брат28:28 Если бы не Гейдар Алиев, вы стали бы великим шахматистом?37:09 Почему вы уехали из России? 39:32 Реакция Эдуарда Лимонова на ваш отъезд46:32 Вы скучаете по России? 49:28 Навальный 1:12:24 Аркадий Дворкович – против войны? 1:17:42 Вы агитировали за Ельцина…1:23:38 Немцова могли убить без ведома Путина?1:25:06 Российские спортсмены и санкции 1:26:56 Почему американских спортсменов не отстраняли от соревнований за Ирак? 1:29:52 Политика Америки – двойные стандарты? 1:39:17 Паспорт хорошего/европейского русского1:42:44 Кто решает: европейский русский или нет? 1:52:59 В России многие против войны, но не могут уехать. Они – не европейские русские? 1:57:11 Либеральная шушера 2:02:33 Как у вас появился паспорт Хорватии? 2:05:13 Кого именно из граждан России вы представляете? 2:10:26 Кто популярнее как политик: вы или Илья Яшин?2:17:32 Сколько. Вы. Зарабатываете 2:23:49 Форум свободной России. Почему он выглядит так странно? 2:32:19 Какое будущее у России? 2:38:39 Вы видите себя в переходном правительстве?2:42:16 Если бы вы сыграли сейчас с Магнусом Карлсеном, как закончился бы матч? 2:47:14 Уход в политику – ошибка?2:50:40 В чем сила?"
eiyuGToBTkY,Аляска едет на операцию!🫣,2023-04-26T13:00:34Z,UCQTzJnAqWZwzH0GCp1hIsFg,МЯТНЫЙ,15,23.27.04,291046,21841,165,False,False,
